"","idx","script","speaker","time_from","time_to"
"312","362","손님","민지","00:20:47,625","00:20:48,958"
"313","364","어떡해","민지","00:20:50,875","00:20:51,916"
"314","366","팀장님! 팀장님, 어디쯤 오고 계세요?",NA,"00:20:55,583","00:20:57,833"
"315","367","미치겠네","민지","00:20:58,916","00:21:00,333"
"316","368","아, 진짜 미치겠네",NA,"00:21:00,416","00:21:02,083"
"317","373","팀장님?",NA,"00:21:12,375","00:21:14,250"
"318","380","민지 씨, 민지 씨?",NA,"00:21:29,125","00:21:31,208"
"319","385","야, 저거 뭐야? ","부원1","00:21:48,333","00:21:50,000"
"320","385","뭐야?","부원2","00:21:48,333","00:21:50,000"
"321","389","뭐야, 저게 뭐 하는 거야?","부원3","00:21:54,500","00:21:55,833"
"322","391","뭐 하는 거야? ","부원4","00:21:57,875","00:21:59,791"
"323","391","거기 누구야?","부원5","00:21:57,875","00:21:59,791"
"324","393","뭐 하는 거야? ","부원6","00:22:01,000","00:22:01,916"
"325","393","왜 저래?","부원7","00:22:01,000","00:22:01,916"
"326","394","뭐 하는 거야?","부원8","00:22:02,000","00:22:04,041"
"327","396","야, 저거 뭐야?",NA,"00:22:05,166","00:22:07,375"
"328","398","야, 너 뭐 해!",NA,"00:22:09,166","00:22:10,041"
"329","403","잠시만요! 잠시만요!","팀장","00:22:21,458","00:22:23,541"
"330","404","잠시만요!",NA,"00:22:23,750","00:22:24,750"
"331","405","잠시만요","팀장","00:22:27,916","00:22:29,291"
"332","406","아, 윽!","팀장","00:22:29,916","00:22:31,541"
"333","414","넘어가요, 넘어가요, 빨리!",NA,"00:22:47,791","00:22:49,125"
"334","415","빨리!",NA,"00:22:49,333","00:22:50,333"
"335","416","빨리 나가요!","팀장","00:22:50,708","00:22:51,708"
"336","417","빨리요, 빨리!","팀장","00:22:51,791","00:22:53,041"
"337","418","기장님, 폭력 사태요!",NA,"00:22:54,041","00:22:55,166"
"338","419","기장님, 객실에서 폭력 사태가 일어났습니다!",NA,"00:22:55,916","00:22:58,583"
"339","420","기장님!","팀장","00:22:58,708","00:22:59,583"
"340","422","도, 도망가!",NA,"00:23:10,458","00:23:12,208"
"341","428","뭐야, 저거? ","여자1","00:23:33,375","00:23:35,208"
"342","428","저게 뭐야, 진짜!","남자1","00:23:33,375","00:23:35,208"
"343","431","아이씨!","남자2","00:23:39,458","00:23:41,041"
"344","434","도망가, 도망가!","남자3","00:23:45,625","00:23:48,125"
"345","437","나가세요! 빨리!","팀장","00:23:55,000","00:23:56,125"
"346","438","일어나세요! 나가세요!",NA,"00:23:56,208","00:23:57,458"
"347","439","어, 손님!",NA,"00:23:57,875","00:23:58,916"
"348","441","아, 뭐야, 이거!","팀장","00:24:00,791","00:24:02,416"
"349","446","뭐야, 이거, 아악!","팀장","00:24:09,708","00:24:11,000"
"350","451","아빠!",NA,"00:24:21,000","00:24:21,833"
"351","464","빨리, 빨리!","남자","00:24:59,750","00:25:00,833"
"352","465","자기야",NA,"00:25:04,291","00:25:05,541"
"353","466","야, 윤상화!",NA,"00:25:07,166","00:25:08,416"
"354","467","아, 진짜 시끄럽게 ",NA,"00:25:08,500","00:25:11,000"
"355","467","아이, 미안해, 미안해",NA,"00:25:08,500","00:25:11,000"
"356","468","엄마야! 저리 가","여자","00:25:11,083","00:25:13,500"
"357","472","이 새끼야, 뭐 해! 빨리 도와줘!",NA,"00:25:24,791","00:25:26,291"
"358","474","아저씨! 아저씨 아저씨, 왜 이래?","상화","00:25:29,083","00:25:30,833"
"359","477","아저씨 왜 이래, 미쳤어?",NA,"00:25:35,000","00:25:36,500"
"360","482","아이씨",NA,"00:25:48,458","00:25:49,916"
"361","484","자기야","상화","00:25:51,583","00:25:52,625"
"362","485","야, 성경아!","상화","00:25:52,708","00:25:54,166"
"363","486","너 뛸 수 있는 거지?",NA,"00:25:56,125","00:25:58,250"
"364","489","어우, 씨",NA,"00:26:07,083","00:26:08,708"
"365","493","도망가!","남자1","00:26:17,958","00:26:19,458"
"366","494","다 피해야 돼!","남자2","00:26:19,541","00:26:20,583"
"367","498","뭐 하는 거야?","남자3","00:26:27,500","00:26:28,791"
"368","499","문, 문 막아!",NA,"00:26:31,208","00:26:32,041"
"369","500","문!","용석","00:26:32,125","00:26:33,875"
"370","501","문 막아, 문! ","남자4","00:26:34,541","00:26:36,333"
"371","501","빨리, 빨리!","여자1","00:26:34,541","00:26:36,333"
"372","502","빨리! ","여자1","00:26:36,500","00:26:38,458"
"373","502","빨리 닫으라고요!","남자5","00:26:36,500","00:26:38,458"
"374","503","빨리! ","여자1","00:26:38,708","00:26:40,250"
"375","503","문 닫아!","여자2","00:26:38,708","00:26:40,250"
"376","504","빨리 문 닫아요!","남자6","00:26:40,666","00:26:43,125"
"377","505","빨리!","용석","00:26:43,625","00:26:44,625"
"378","506","그냥 닫아!",NA,"00:26:44,750","00:26:46,250"
"379","508","야! ","상화","00:26:51,250","00:26:53,833"
"380","508","어, 어떡해!","여자3","00:26:51,250","00:26:53,833"
"381","509","어, 아저씨다!",NA,"00:26:53,916","00:26:54,958"
"382","510","씨",NA,"00:26:55,041","00:26:56,041"
"383","514","어, 빨리! 빨리 닫아, 빨리!","남자7","00:27:02,000","00:27:04,166"
"384","515","아이씨","상화","00:27:04,250","00:27:06,291"
"385","516","어유, 씨","상화","00:27:06,375","00:27:07,791"
"386","517","아이씨 이거 어떻게 잠가?",NA,"00:27:08,333","00:27:09,750"
"387","518","야! 이거 어떻게 잠가?",NA,"00:27:11,041","00:27:12,666"
"388","519","어?","상화","00:27:13,500","00:27:14,958"
"389","520","야, 이 새끼야, 안 들려?",NA,"00:27:15,125","00:27:16,666"
"390","521","아이씨",NA,"00:27:18,916","00:27:19,958"
"391","522","그거 놔봐요",NA,"00:27:20,583","00:27:21,666"
"392","523","뭐?",NA,"00:27:22,625","00:27:23,666"
"393","525","그 사람들 문 열 줄 모르는 것 같아",NA,"00:27:26,708","00:27:28,416"
"394","528","보이니까 달려드나 봐",NA,"00:27:38,958","00:27:40,416"
"395","533","아니",NA,"00:27:59,791","00:28:00,958"
"396","534","지금 저게 지금 저게",NA,"00:28:01,083","00:28:02,875"
"397","535","저것들은 도대체 뭐야?",NA,"00:28:03,458","00:28:04,791"
"398","537","수안아, 괜찮아?",NA,"00:28:08,875","00:28:10,041"
"399","538","저기요, 아저씨!","상화","00:28:11,958","00:28:13,083"
"400","539","뭡니까?","석우","00:28:14,291","00:28:15,291"
"401","541","너 나한테 할 얘기 좀 있지 않으세요?",NA,"00:28:17,041","00:28:18,666"
"402","542","무슨 소리야?",NA,"00:28:19,250","00:28:20,458"
"403","543","이 새끼 봐라, 이거?",NA,"00:28:20,916","00:28:22,041"
"404","544","사람이 뛰어오는데 코앞에서 문을 닫아?",NA,"00:28:22,833","00:28:24,708"
"405","545","돌았냐, 이 새끼야?",NA,"00:28:24,791","00:28:25,791"
"406","546","거 말조심해요 당신만 위험했던 거 아니니까",NA,"00:28:25,916","00:28:28,250"
"407","547","하, 뭐 이런 새끼가 다 있어",NA,"00:28:29,125","00:28:31,250"
"408","548","너 이리로 와봐","상화","00:28:32,083","00:28:33,041"
"409","549","너 내가 저쪽으로 확 던져 버리려니까 이리 와",NA,"00:28:33,125","00:28:35,041"
"410","550","아이, 그만해! 하",NA,"00:28:35,125","00:28:36,583"
"411","551","다들 겁나니까 그런 거야",NA,"00:28:36,666","00:28:37,708"
"412","553","와, 씨",NA,"00:28:40,333","00:28:41,333"
"413","554","승객 여러분께 알려드립니다",NA,"00:28:42,458","00:28:44,583"
"414","555","우리 열차는 열차 사정상 잠시 후 진입하는",NA,"00:28:45,166","00:28:47,958"
"415","556","천안아산역에 정차하지 않습니다",NA,"00:28:48,041","00:28:50,541"
"416","557","승객 여러분은 안전을 위해 모두",NA,"00:28:50,958","00:28:52,708"
"417","558","자리에 앉아주시길 바랍니다",NA,"00:28:52,791","00:28:54,541"
"418","559","지나갑시다, 미안합니다","용석","00:28:54,625","00:28:56,875"
"419","560","왜 안 서는 거야?","여자","00:28:56,958","00:28:58,458"
"420","561","승무원! 승무원 없어요?","용석","00:28:58,958","00:29:01,458"
"421","562","네, 승무원입니다 말씀하세요","기철","00:29:01,541","00:29:03,833"
"422","563","당신들 말이야",NA,"00:29:03,916","00:29:05,041"
"423","564","지금 기차 안에서 무슨 일이 벌어지고 있는지 몰라?",NA,"00:29:05,125","00:29:07,791"
"424","565","왜 천안역에 안 세우는 거예요, 예?",NA,"00:29:07,875","00:29:09,750"
"425","566","아뇨, 알고 있습니다 저도 대피해 있는 상태고요","기철","00:29:09,833","00:29:12,500"
"426","567","하지만 관제실에서 그렇게 하랍니다",NA,"00:29:12,583","00:29:14,500"
"427","568","저, 지시를 따라주세요",NA,"00:29:14,583","00:29:15,875"
"428","569","아, 무슨 관제실 타령이야 지금!",NA,"00:29:15,958","00:29:17,958"
"429","570","사람인지 뭔지 모를 것들이 미쳐서 날뛰고 있는데!",NA,"00:29:18,041","00:29:20,625"
"430","571","무조건 천안역에 세워요 알았어?",NA,"00:29:21,041","00:29:22,916"
"431","573","잠깐만요","용석","00:29:24,750","00:29:25,875"
"432","574","조금만 참아","상화","00:29:26,708","00:29:28,500"
"433","575","저기 죄송한데 좀 잠시 앉을 수 있을까요?",NA,"00:29:29,791","00:29:32,583"
"434","576","여기 임산부라 ",NA,"00:29:32,666","00:29:34,250"
"435","576","아, 하지 마","성경","00:29:32,666","00:29:34,250"
"436","577","네 ","여자","00:29:34,333","00:29:35,750"
"437","577","앉아, 앉아",NA,"00:29:34,333","00:29:35,750"
"438","578","괜찮아요 ","성경","00:29:35,833","00:29:37,125"
"439","578","네, 고맙습니다","상화","00:29:35,833","00:29:37,125"
"440","579","고맙습니다, 앉아","상화","00:29:37,208","00:29:38,375"
"441","580","어, 엄마",NA,"00:29:40,833","00:29:41,875"
"442","581","어, 석우야","석우 모","00:29:41,958","00:29:43,708"
"443","582","잘 가고 있지?",NA,"00:29:43,791","00:29:45,416"
"444","583","그냥 가, 가고 있어요",NA,"00:29:46,125","00:29:48,083"
"445","584","근데, 왜","석우","00:29:48,458","00:29:49,625"
"446","585","어디예요? 왜 이렇게 시끄러워?",NA,"00:29:49,708","00:29:51,125"
"447","586","이게 다 뭔 일이라니","석우 모","00:29:51,208","00:29:53,166"
"448","587","왜 이렇게들 싸우고",NA,"00:29:53,250","00:29:55,541"
"449","588","너랑 수안이는... 괜찮지?",NA,"00:29:55,625","00:29:59,166"
"450","589","엄마 숨을 왜 그렇게 쉬어요? 어디 다쳤어요?",NA,"00:29:59,458","00:30:01,708"
"451","591","석우야, 우, 우리 석우","석우 모","00:30:03,291","00:30:05,750"
"452","592","우, 우리 새끼",NA,"00:30:06,250","00:30:07,541"
"453","593","우리 수안이 좀 잘 좀 챙겨줘",NA,"00:30:07,625","00:30:11,250"
"454","594","엄마, 괜찮아?",NA,"00:30:11,375","00:30:13,833"
"455","595","우리 수안이, 내 강아지","석우 모","00:30:13,916","00:30:16,833"
"456","597","그, 그렇게 예뻐하는데 제 엄마...","석우 모","00:30:19,958","00:30:23,000"
"457","598","제 엄마만 찾는 우리 새끼",NA,"00:30:23,083","00:30:26,291"
"458","599","썩을 놈들!",NA,"00:30:27,416","00:30:30,750"
"459","603","엄마?",NA,"00:30:38,166","00:30:39,541"
"460","604","아빠",NA,"00:30:41,916","00:30:43,250"
"461","606","아빠","수안","00:30:44,958","00:30:46,250"
"462","607","할머니 괜찮대요?",NA,"00:30:48,458","00:30:50,416"
"463","609","어, 이거 뭐야!","남자","00:30:57,833","00:30:59,666"
"464","610","어, 왜 이래? ","남자","00:30:59,750","00:31:01,041"
"465","610","왜 이러지?","여자","00:30:59,750","00:31:01,041"
"466","611","수안아, 앉아 있자",NA,"00:31:01,958","00:31:03,500"
"467","614","세워!","청년","00:31:14,833","00:31:16,083"
"468","616","문 좀 열어주세요!","청년","00:31:17,708","00:31:18,916"
"469","618","세워!","청년","00:31:23,625","00:31:24,791"
"470","619","세우라고!",NA,"00:31:25,750","00:31:27,208"
"471","622","존경하는 국민 여러분","장관","00:31:48,208","00:31:49,833"
"472","624","전일 서울을 비롯한 도시 곳곳에서",NA,"00:31:50,875","00:31:53,458"
"473","625","전국 단위의 과격 폭력 시위가 벌어져",NA,"00:31:53,916","00:31:57,416"
"474","626","시민과 경찰 양쪽에서 많은 부상자가 발생하였습니다",NA,"00:31:57,500","00:32:02,250"
"475","627","시위에 따른 혼란으로 도심 일부가 일시적으로 마비되었고",NA,"00:32:03,041","00:32:07,458"
"476","628","일부 시위대는 경찰 버스를 부수고 지붕 위에 올라타는 등",NA,"00:32:07,791","00:32:11,958"
"477","629","버스 탈취와 전복을 시도하였습니다","장관","00:32:12,416","00:32:14,750"
"478","630","잘한다 ","여자","00:32:14,833","00:32:16,958"
"479","630","오, 좋았어","남자","00:32:14,833","00:32:16,958"
"480","631","이에 정부는","장관","00:32:17,041","00:32:18,375"
"481","632","국가 재난 상황을 발령",NA,"00:32:18,458","00:32:20,375"
"482","633","국민의 안전 보장과",NA,"00:32:21,041","00:32:22,666"
"483","634","사태 확산 방지를 위해",NA,"00:32:22,750","00:32:24,750"
"484","635","최우선 조치를 취하고 있습니다",NA,"00:32:24,833","00:32:27,041"
"485","636","야, 같이 가!","여자","00:32:27,125","00:32:28,166"
"486","638","다행히도 현재 정부의 발 빠른 대응으로","장관","00:32:29,833","00:32:33,083"
"487","639","폭력 시위는","장관","00:32:33,166","00:32:34,125"
"488","640","점차 잦아들고 있으며 ","장관","00:32:34,208","00:32:35,666"
"489","640","찍고 있어?","남자","00:32:34,208","00:32:35,666"
"490","641","조용히 좀 해봐 ","여자","00:32:35,750","00:32:37,875"
"491","641","조속한 시일 내에","장관","00:32:35,750","00:32:37,875"
"492","642","마무리될 것으로 보입니다","장관","00:32:37,958","00:32:39,708"
"493","644","국민 여러분","장관","00:32:41,333","00:32:42,958"
"494","645","현 사태와 관련하여",NA,"00:32:43,041","00:32:45,083"
"495","646","떠도는 터무니없는 악성 유언비어에 동요하지 마시고",NA,"00:32:45,166","00:32:49,125"
"496","647","현명한 자세로",NA,"00:32:49,208","00:32:50,458"
"497","648","가정에서 자리를 지키시길 당부의 말씀 드립니다",NA,"00:32:50,916","00:32:55,125"
"498","649","지금은 흔들리지 않고 우리 모두가 정부를 믿고",NA,"00:32:55,208","00:32:58,375"
"499","650","슬기롭게 극복하는 데 역량을 모아 나가야 할 때입니다",NA,"00:32:58,458","00:33:01,916"
"500","651","국민 여러분의 안전에는 이상이 없을 것입니다",NA,"00:33:02,708","00:33:06,708"
"501","655","갑시다, 예?","남자","00:33:16,541","00:33:18,833"
"502","658","엄마 전화기가 꺼져 있어요",NA,"00:33:28,250","00:33:30,291"
"503","660","저기요! 아, 빨리빨리 좀 갑시다, 예?","남자1","00:33:34,166","00:33:37,125"
"504","661","수안아, 일단 여기 앉자",NA,"00:33:37,750","00:33:39,125"
"505","662","걱정하지 마, 아빠가 이따가 다시 전화해볼게",NA,"00:33:40,000","00:33:42,166"
"506","663","아, 사람, 거 진짜","남자1","00:33:42,250","00:33:43,750"
"507","664","종길아, 이리 와 앉아",NA,"00:33:44,166","00:33:45,708"
"508","665","어우, 자기가 더 할머니면서 언니가 앉아",NA,"00:33:45,791","00:33:48,375"
"509","666","자, 어서 앉아 ","인길","00:33:48,458","00:33:49,666"
"510","666","아이고, 아이고","종길","00:33:48,458","00:33:49,666"
"511","667","자기야, 이쪽에 앉자 ","상화","00:33:49,750","00:33:51,500"
"512","667","아우, 참 내, 어휴","종길","00:33:49,750","00:33:51,500"
"513","668","할머니! 할머니, 여기 앉으세요",NA,"00:33:55,875","00:33:58,291"
"514","669","아가, 어서 가서 앉아",NA,"00:33:58,375","00:33:59,541"
"515","670","아니에요 할머니 앉으세요","수안","00:33:59,625","00:34:01,541"
"516","672","아이고, 아가",NA,"00:34:04,916","00:34:06,125"
"517","673","이거 먹을래?",NA,"00:34:07,166","00:34:08,708"
"518","674","앞에 빨리빨리 좀 갑시다","남자2","00:34:09,458","00:34:11,041"
"519","675","네, 감사합니다 ","수안","00:34:11,125","00:34:13,000"
"520","675","고맙다","인길","00:34:11,125","00:34:13,000"
"521","676","고놈 참 멋있네",NA,"00:34:13,083","00:34:14,625"
"522","677","잘됐다, 앉아 있어 ","종길","00:34:19,416","00:34:21,791"
"523","677","가려면 빨리 가든지","상화","00:34:19,416","00:34:21,791"
"524","678","아, 가방 진짜","상화","00:34:22,500","00:34:23,791"
"525","679","수안아",NA,"00:34:25,666","00:34:26,666"
"526","680","이럴 땐 안 그래도 돼",NA,"00:34:26,750","00:34:27,875"
"527","681","뭘요?",NA,"00:34:28,458","00:34:29,625"
"528","682","양보 말이야",NA,"00:34:29,916","00:34:31,041"
"529","683","지금 같은 때는 자기 자신이 제일 우선이야",NA,"00:34:31,458","00:34:33,458"
"530","684","알았어?","석우","00:34:33,541","00:34:34,583"
"531","685","대답해",NA,"00:34:37,458","00:34:38,416"
"532","686","우리 할머니도 맨날 무릎 아파했는데",NA,"00:34:43,708","00:34:46,916"
"533","687","수안아",NA,"00:34:48,708","00:34:49,750"
"534","688","차내에 계신 승객 여러분께 사과의 말씀 올리며",NA,"00:34:54,250","00:34:57,750"
"535","689","우리 열차는 대전역까지만 운행한다는 사실을 알려드립니다",NA,"00:34:58,416","00:35:01,833"
"536","690","현재 대전역에 군대를 배치하여",NA,"00:35:02,750","00:35:05,208"
"537","691","우리 열차의 소요 사태를 진압할 예정이오니",NA,"00:35:05,291","00:35:08,125"
"538","692","대전역에 도착하면 한 분도 빠짐없이 하차해주시기 바랍니다",NA,"00:35:08,208","00:35:12,250"
"539","693","다시 한번 말씀드립니다",NA,"00:35:12,333","00:35:14,333"
"540","694","우리 열차는 대전역까지만 운행합니다",NA,"00:35:14,416","00:35:17,125"
"541","695","지금 진입 가능한 데가 어디야, 응?","용석","00:35:17,208","00:35:19,250"
"542","696","여수, 울진, 부산 그리고, 그럼 대전은? 대전은?",NA,"00:35:19,708","00:35:22,333"
"543","697","잠깐만요 저 화장실 좀 씁시다",NA,"00:35:22,416","00:35:24,541"
"544","698","야, 대전은 들어갈 수 있어?",NA,"00:35:24,625","00:35:26,291"
"545","699","아, 왜 안 돼?","용석","00:35:26,375","00:35:27,625"
"546","701","수안아",NA,"00:35:29,416","00:35:30,875"
"547","702","여기 잠깐만 있어",NA,"00:35:30,958","00:35:32,166"
"548","703","야, 꼬맹이!","상화","00:35:36,000","00:35:37,208"
"549","704","네?",NA,"00:35:37,666","00:35:38,666"
"550","705","저 사람 누구야, 아빠야?",NA,"00:35:38,750","00:35:40,291"
"551","706","네 ",NA,"00:35:41,333","00:35:43,083"
"552","706","친아빠?",NA,"00:35:41,333","00:35:43,083"
"553","707","네","수안","00:35:43,166","00:35:44,166"
"554","708","아니, 이상하잖아",NA,"00:35:44,833","00:35:46,166"
"555","709","아빠 뭐 하는 사람인데?",NA,"00:35:47,208","00:35:48,625"
"556","710","증권사 펀드 매니저요",NA,"00:35:48,708","00:35:50,666"
"557","711","아, 펀드 매니저? ",NA,"00:35:50,750","00:35:53,250"
"558","711","네","수안","00:35:50,750","00:35:53,250"
"559","712","개미핥기, 개미핥기",NA,"00:35:54,041","00:35:55,458"
"560","713","다 남들 피 빨아먹고 사는 새끼들",NA,"00:35:56,708","00:35:58,541"
"561","714","윤상화! 너 애 앞에서 못 하는 소리가 없어, 진짜",NA,"00:35:58,708","00:36:01,416"
"562","715","괜찮아요, 뭐",NA,"00:36:01,875","00:36:03,791"
"563","716","다들 뭐 그렇게 다 생각하시니까",NA,"00:36:03,875","00:36:06,375"
"564","718","이거 줄까?",NA,"00:36:12,500","00:36:13,791"
"565","719","우리 잠잠이가 먹는 건데","성경","00:36:14,666","00:36:16,083"
"566","720","얘가 잠잠이야 인사할래?",NA,"00:36:17,833","00:36:20,333"
"567","721","이름이 잠잠이예요?",NA,"00:36:21,625","00:36:24,000"
"568","722","아니, 태명",NA,"00:36:24,416","00:36:25,666"
"569","723","그러니까 이게 별명 같은 거고",NA,"00:36:25,750","00:36:27,916"
"570","724","어, 이름은 아빠가 게을러터져서 아직 지어주지 않았어",NA,"00:36:28,041","00:36:32,250"
"571","725","만져봐",NA,"00:36:34,583","00:36:35,541"
"572","726","만져봐","성경","00:36:36,041","00:36:37,125"
"573","727","만져봐",NA,"00:36:38,250","00:36:39,583"
"574","729","왔어?",NA,"00:36:45,291","00:36:46,708"
"575","730","이거 아저씨가 만든 거야",NA,"00:36:47,625","00:36:49,125"
"576","732","미친... ",NA,"00:36:53,208","00:36:55,375"
"577","732","맞잖아, 아니야?",NA,"00:36:53,208","00:36:55,375"
"578","733","씨","상화","00:36:56,000","00:36:57,041"
"579","736","네, 서 팀장님, 제가 지금 통화하기 좀 곤란한 상황이라","민 대위","00:37:08,458","00:37:11,000"
"580","737","나중에 다시 전화 ","민 대위","00:37:11,083","00:37:12,750"
"581","737","잠깐만, 잠깐만",NA,"00:37:11,083","00:37:12,750"
"582","738","민 대위! 뭐 좀 하나 물어보자",NA,"00:37:12,833","00:37:14,916"
"583","739","네?","민 대위","00:37:15,000","00:37:16,041"
"584","740","내가 지금 대전 들어가는 KTX 타 있거든?",NA,"00:37:17,208","00:37:18,791"
"585","741","KTX요?","민 대위","00:37:18,875","00:37:20,125"
"586","742","저 팀장님, 그럼 혹시 그 열차 타고 계신 거예요?",NA,"00:37:20,666","00:37:23,125"
"587","743","어, 알고 있구나?",NA,"00:37:23,208","00:37:24,458"
"588","744","저기, 대전에 군인들 배치됐다는 거 사실이야?",NA,"00:37:25,583","00:37:28,708"
"589","745","네, 뭐, 맞아요","민 대위","00:37:29,750","00:37:31,000"
"590","746","아, 그래?","석우","00:37:32,041","00:37:33,291"
"591","747","그쪽은 안전한 모양이네",NA,"00:37:34,333","00:37:35,666"
"592","748","아, 저기, 그게","민 대위","00:37:37,916","00:37:39,916"
"593","749","민 대위",NA,"00:37:41,791","00:37:42,833"
"594","750","그쪽 안전한 거 맞지?",NA,"00:37:43,541","00:37:44,833"
"595","751","서 팀장님, 대전 오시면은 아마도 일단은 격리되실 겁니다","민 대위","00:37:45,666","00:37:49,250"
"596","752","죄송해요 ","민 대위","00:37:49,833","00:37:51,375"
"597","752","뭐?",NA,"00:37:49,833","00:37:51,375"
"598","754","민 대위, 나 지금 우리 딸이랑 같이 있다",NA,"00:37:54,541","00:37:57,291"
"599","755","그럼 나랑 우리 딸만이라도 따로 좀 부탁하자, 응?",NA,"00:37:58,875","00:38:02,125"
"600","756","저기 팀장님","민 대위","00:38:02,541","00:38:04,541"
"601","757","그게 ","민 대위","00:38:04,666","00:38:05,666"
"602","757","민 대위, 내가",NA,"00:38:04,666","00:38:05,666"
"603","758","다음에 확실한 건 하나 추천해줄게 어? 민 대위!",NA,"00:38:05,750","00:38:08,333"
"604","760","그러면은 메인 광장으로 나가지 말고요","민 대위","00:38:10,625","00:38:13,041"
"605","761","동광장 쪽으로 나오세요 네?",NA,"00:38:13,125","00:38:14,708"
"606","762","그쪽 애들한테는 제가 따로 얘기해놓을게요",NA,"00:38:14,791","00:38:16,333"
"607","763","그래 민 대위, 고맙다",NA,"00:38:16,416","00:38:18,958"
"608","764","고마워!",NA,"00:38:19,041","00:38:20,125"
"609","767","다 죽었어",NA,"00:38:27,916","00:38:28,916"
"610","768","다 죽어",NA,"00:38:33,708","00:38:34,958"
"611","771","어떻게 된 거야? ","남자1","00:38:45,541","00:38:47,333"
"612","771","아무도 없는 거야?","여자","00:38:45,541","00:38:47,333"
"613","772","대체 여기 왜 이래? ","여자","00:38:47,416","00:38:49,708"
"614","772","대전 맞아?","남자2","00:38:47,416","00:38:49,708"
"615","773","이게 진짜? ","남자3","00:38:53,416","00:38:55,416"
"616","773","아무도 없지?","남자4","00:38:53,416","00:38:55,416"
"617","774","어떻게 된 거야? ","남자4","00:38:55,500","00:38:58,250"
